name,funding_amount,city,country,industry,funding_stage,description,investors,startup_age,team_background,traction_indicators,valuation,round_type,language,region_category,company_website,article_keywords,url,publish_date,founder_linkedin
EIT Digital Venture Incubation Program 2025,15000.0,,"EU27 countries, Ukraine, Turkey, Serbia, Montenegro, North Macedonia","deep tech, digital technology",Pre-Acceleration,A fully online programme aimed at helping Europe’s most promising early-stage tech founders move from concept to company.,EIT Digital,,,"Demo Day, up to €15,000 in additional financial support",,Pre-Acceleration,English,EU,Application Page,"incubation, deep tech, digital technology, startup, funding, Europe",https://www.eu-startups.com/2025/06/eit-digital-venture-incubation-program-2025/,"June 12, 2025",
Perci Health,4000000.0,UK,UK,"HealthTech, virtual cancer clinic",Scale-up,"A comprehensive virtual cancer clinic that integrates digital innovation with compassionate, specialist-led support to provide better outcomes for everyone living with and beyond cancer.","Macmillan Cancer Support, Guinness Ventures, Conduit Fund, Octopus Ventures, 35 leading oncologists and cancer surgeons",2020,"Kelly McCabe (specialist oncology dietitian, NHS hospital management experience, former COO of a network of private cancer facilities), Morgan Fitzsimons (background in digital transformation and consumer experience, executive roles at CBS Television and ASOS)","Network of over 85 NHS-trained specialists, 100% of directors, 80% of leadership team, and 60% of executive board composed of women, raised twice the average deal size for UK female-led startups in each funding round",,Scale-up,English,UK,,"HealthTech, virtual cancer clinic, AI-powered, multidisciplinary, personalised care, digital innovation, female-led, cancer survivorship, NHS, Macmillan Cancer Support",https://www.eu-startups.com/2025/06/london-based-scale-up-perci-health-raises-e4-million-to-scale-ai-driven-virtual-cancer-clinic/,"June 11, 2025",
Wandercraft,64300000.0,Paris,France,"robotics, exoskeletons, humanoid robots",Series D,"Wandercraft develops self-balancing exoskeletons and humanoid robots for rehabilitation, home environments, and industrial applications.","Renault Group, Bpifrance, European Investment Bank, Teampact Ventures, Quadrant Management, LBO France, Mutuelles Impact, Cemag Invest, Martagon Capital, AG2R LA MONDIALE",2012,"Matthieu Masselin, CEO and Co-founder","expanded globally, launched clinical trials, commercialisation of Eve exoskeleton, partnership with Renault, deployed in over 100 hospitals, 14 million steps taken by 2,500 users, two FDA clearances, tenfold revenue increase",,Series D,English,EU,,"robotics, exoskeletons, humanoid robots, clinical trials, mobility impairments, industrial applications, FDA clearances, partnership, Renault, AI",https://www.eu-startups.com/2025/06/french-wandercraft-raises-e64-3-million-to-take-robotics-from-hospitals-to-homes-and-factory-floors/,"June 11, 2025",
Arlequin AI,4400000.0,,France,"AI, data operations, disinformation, strategic data insights",Seed,Arlequin AI develops sovereign data operations platforms based on next-generation unsupervised AI models to combat disinformation and restore trust in strategic data insights.,"Vsquared Ventures, 10x Founders, Kima Ventures, Better Angle, David Meneret, Arthur Dénouveaux, Éric Le Maire, Julien Codorniou, Julien Lesaicherre",2024,"Hugo Micheron (specialist in radicalisation, jihadism, and Middle Eastern studies), Antoine Jardin (research engineer at CNRS and PhD in algorithmic sciences)","Technology deployed in three European countries, supports public institutions, media organisations, and major corporations, research partnerships with Princeton University, University of Santa Barbara, INRIA, and Sciences Po",,Seed,English,EU,,"AI, disinformation, data operations, strategic insights, Europe, unsupervised AI models, geopolitical, sovereign technology",https://www.eu-startups.com/2025/06/paris-based-arlequin-ai-secures-e4-4-million-to-fight-disinformation-with-sovereign-unsupervised-ai/,"June 11, 2025",
OpenTrade,6100000.0,British,UK,"FinTech, blockchain, stablecoin",strategic funding,OpenTrade is an institutional-grade platform for real-world asset-backed USDC & EURC yield products.,"Notion Capital, Mercury Fund, AlbionVC, a16z crypto, CMCC Global",2023,"Dave Sutter (CEO), Jeff, Tom","5 million retail users, €41.1 million managed for clients, €174 million in transaction volume, 20% average month-over-month growth",,Strategic,English,UK,,"RWA, stablecoin, yield products, FinTech, blockchain, USDC, EURC",https://www.eu-startups.com/2025/06/london-based-cryptocurrency-startup-opentrade-raises-e6-1-million-to-expand-stablecoin-yield-access/,"June 11, 2025",
Abacum,52500000.0,Barcelona,Spain,"FinTech, Business Planning Software",Series B,Abacum is a business planning platform that empowers finance teams to drive performance by combining simplicity with enterprise-grade flexibility.,"Scale Venture Partners, Cathay Innovation, Y Combinator, Creandum, Kfund, Atomico",2020,Founded by Julio Martínez and Jorge Lluch,"Tripled revenue in the past 12 months, expanded customer base across 31 countries, over 50% of revenue from the US market, used by Strava, Aiven, JG Wentworth, and Mastercam",,Series B,English,EU,,"FinTech, AI, business planning, finance teams, Series B, Vertical AI, CFO, FP&A",https://www.eu-startups.com/2025/06/barcelona-based-abacum-raises-over-e50-million-for-their-business-planning-software/,"June 11, 2025",
Proxima Fusion,130000000.0,Munich,Germany,"Fusion energy, CleanTech",Series A,Proxima Fusion is building the world’s first commercial fusion power plant based on a stellarator design.,"Cherry Ventures, Balderton Capital, UVC Partners, DeepTech & Climate Fonds (DTCF), Plural, Leitmotif, Lightspeed, Bayern Kapital, HTGF, Club degli Investitori, OMNES Capital, Visionaries Tomorrow, Elaia Partners, redalpine",1,"Engineers, scientists, and operators from leading companies and institutions such as Max Planck Institute for Plasma Physics (IPP), MIT, Harvard, SpaceX, Tesla, McLaren","Unveiled Stellaris, a peer-reviewed stellarator concept; plans to complete Stellarator Model Coil (SMC) in 2027; scheduled Alpha demonstration stellarator operations in 2031",,Series A,English,EU,,"fusion energy, stellarator, clean energy, high-temperature superconductors, commercial fusion power plant",https://www.eu-startups.com/2025/06/german-proxima-fusion-raises-e130-million-in-largest-private-fusion-investment-round-in-europe/,"June 11, 2025",
Tebi,30000000.0,Amsterdam,Netherlands,"hospitality, software, payments",Series B,"Tebi develops an all-in-one operating system for small hospitality businesses, integrating point-of-sale, payments, kitchen displays, reservations, inventory, and bookkeeping.","CapitalG, Index Ventures",2021,"ex-Adyen, ex-Bibit, ex-Notion, ex-Uber, ex-Wolt","processing nine figures in annual payments, used by restaurants and food vendors across the Netherlands",,Series B,English,EU,,"hospitality, operating system, payments, software, expansion, Series B",https://www.eu-startups.com/2025/06/amsterdam-based-tebi-raises-e30-million-to-serve-europes-hospitality-sector-one-tap-at-a-time/,"June 10, 2025",
Maze,21800000.0,,British,"AI, cloud security",Series A,A platform that uses AI agents to investigate and resolve cloud security vulnerabilities.,"Theory Ventures, Cherry Ventures, Tapestry VC",2024,"ex-Tessian, Elastic, Amazon, Meta, Adyen, Nvidia","Deployed in production with over ten organisations, including two of the Fortune 200",,Series A,English,UK,,"AI agents, cloud security, vulnerabilities, AI-native security platform",https://www.eu-startups.com/2025/06/london-based-maze-launches-with-e21-8-million-for-its-ai-agents-that-prevent-cloud-security-breaches/,"June 10, 2025",
Impact Recycling,3800000.0,Grangemouth,UK,"plastic recycling, waste management",follow-on investment,A plastic recycling company that recovers high-purity recycled polymers from post-consumer waste.,"IW Capital, Nestlé, LG Chem",2014,"David Walsh (CEO), Alan Armstrong (Chairman of IW Capital)","Operational plants in Glasgow and Peterlee, licensing agreement with Syklo, grant from Innovate UK, €8.2 million loan from Nestlé, licence agreement with LG Chem",,follow-on investment,English,UK,,"plastic recycling, BOSS technology, sustainable materials, regulatory tailwinds, EU Plastic Packaging Directive",https://www.eu-startups.com/2025/06/british-recycling-company-impact-recycling-raises-e3-8-million-for-its-water-based-density-separation-tech/,"June 10, 2025",
,,,,,,,,,,,,,,,,,https://www.eu-startups.com/2025/06/why-more-early-stage-startups-are-embracing-pr-from-day-one/,"June 24, 2025",
Amazon Sustainability Accelerator,,,,"Climate Tech, Sustainability, Energy Efficiency, Waste Management, Water Management",Accelerator,A four-week hybrid accelerator supporting early-stage companies developing practical and scalable sustainability solutions.,"Amazon, Founders Intelligence",,,"Potential funding ranging from $50,000 to $2 million, £1,500 cash grant, $10,000 in AWS Activate Credits, opportunity to pilot with Amazon",,Accelerator,English,EU,Amazon Sustainability Accelerator website,"sustainability, climate tech, accelerator, Amazon, pilot, funding, mentorship, energy efficiency, waste management, water management",https://www.eu-startups.com/2025/06/build-scale-impact-applications-for-the-amazon-sustainability-accelerator-2025-are-now-open-sponsored/,"June 24, 2025",
Engrate,2500000.0,Stockholm,Sweden,"energy, digital integration",Seed,A Swedish energy startup accelerating the green energy transition with its digital integration platform.,"Maniv, Eviny Ventures, Course Corrected, NP Hard",2024,"Co-founder and CEO Anna Engman, CTO Richard Eklund","Secured energy company Flower as a customer, participated in Norrsken’s Accelerator Programme",,Seed,English,EU,,"energy, digital integration, renewable energy, Seed funding, green energy transition",https://www.eu-startups.com/2025/06/swedish-energy-startup-engrate-raises-e2-5-million-for-efficient-energy-integration/,"June 13, 2025",
Look Up,50000000.0,Toulouse,France,"SpaceTech, Space Surveillance, Orbital Safety",Series A,Look Up is innovating orbital safety and space surveillance with a global radar network and space traffic management services.,"ETF Partners, Leadwind (KFund), EU’s EIC Fund, MIG Capital, Karista, Expansion",3,"Michel Friedling (former head of the French Space Command), Juan Carlos Dolado Perez (ex-Chief of Space Surveillance at CNES)","60 employees, plans to reach 100 by year’s end, operating a high-precision radar in France, soon installing two more in French Polynesia",,Series A,English,EU,,"SpaceTech, orbital safety, space surveillance, radar network, space traffic management, European Union, sustainable space technologies",https://www.eu-startups.com/2025/06/french-spacetech-startup-look-up-lands-e50-million-to-tackle-space-collisions-with-radar-tech/,"June 13, 2025",
Sunrise Robotics,7300000.0,Ljubljana,Slovenia,"robotics, manufacturing, AI",Stealth,A robotics company developing intelligent robotic cells to automate repetitive tasks in manufacturing.,"Plural, Tapestry, Seedcamp, Tiny.vc, Prototype Capital",2023,"ex-vox.io, ex-Layer Founder, ex-Airnamics Founder, ex-PCH International, ex-Amazon, ex-Google, ex-Red Bull Formula 1, ex-Unity, ex-Waymo","100 million+ consumer electronics products shipped, software platforms serving 150 million+ users, initial systems operational in electronics manufacturing facilities across Europe, letters of intent with 10+ customers",,,English,EU,,"robotics, manufacturing, AI, automation, simulation, industrial manufacturing, labor shortages, productivity, supply chains",https://www.eu-startups.com/2025/06/slovenian-startup-sunrise-robotics-emerges-from-stealth-with-e7-3-million-for-their-simulation-trained-robots/,"June 13, 2025",
Knowunity,27000000.0,Berlin,Germany,"Education, AI, EdTech",Series B,"Knowunity is a Berlin-based learning platform built by and for students, offering an AI-powered study companion to provide personalised education.","XAnge, Portfolion, Isomer Capital, Project A, Redalpine, Educapital, Verena Pausder, Arthur Kosten",2020,"Founded by Benedict Kurz (CEO), Gregor Weber (CPO), Lucas Hild (CTO), and Yannik Prigl (Backend), all 17 years old and still in school at the time.","Over 20 million users across 15 countries, 380,000 student creators, one in three students in Germany uses the app, strong engagement with AI companion.",,Series B,English,EU,,"AI, education, learning platform, student-generated content, personalised learning, EdTech",https://www.eu-startups.com/2025/06/german-edtech-startup-knowunity-raises-e27-million-to-bring-ai-tutor-to-1-billion-students/,"June 13, 2025",
Kolet,8600000.0,,France,"eSIM, mobile connectivity, travel",Series A,"Kolet offers a fully digital eSIM for seamless, affordable, and universal mobile connectivity in over 190 countries.","Daphni, Peter Kern, Jon Gieselman, Bpifrance, 9900 Capital",1,"ex-Expedia Group, ex-Apple, ex-Amadeus / American Express GBT","300,000 travellers, partnerships with Air France, KLM, Kiwi.com, Exoticca, Wego",,Series A,English,EU,,"eSIM, mobile connectivity, travel, Series A, funding, B2B2C",https://www.eu-startups.com/2025/06/paris-based-kolet-raises-e8-6-million-to-innovate-global-mobile-connectivity-across-190-countries/,"June 12, 2025",
Aortyx,13800000.0,Barcelona,Spain,"MedTech, Cardiovascular",Series A,Aortyx is developing a bioresorbable patch and minimally invasive solution to treat aortic tears and other aortic diseases.,"Ship2B Ventures, Clave Capital, Nara Capital, EIC fund, CDTI, various angel investors",6,Four PhD-holding Co-founders with expertise in medical technology and cardiovascular research,"Successful outcomes in animal and cadaver testing, aiming for first-in-human testing within two years",,Series A,English,EU,,"MedTech, cardiovascular, aortic dissection, bioresorbable patch, minimally invasive, funding, Series A",https://www.eu-startups.com/2025/06/spanish-medtech-scale-up-aortyx-spins-spider-inspired-tech-to-mend-torn-aortas-raising-e13-8-million/,"June 12, 2025",
Voltfang,15000000.0,Aachen,Germany,"cleantech, battery storage, energy storage",Series B,"Voltfang is a cleantech company specialising in high-performance European energy storage systems for industrial, commercial, and grid-scale use.","FORWARD.One, Interzero, PT1, Helen Ventures, Daphni, Aurum Impact, Fiege Ventures, Newberry Investments",2020,Founded by Afshin Doostdar and David Oudsandji at RWTH Aachen University,"Doubled company valuation in six months, increased storage capacity from 5 MWh in 2023 to 20 MWh in 2024, expanding production site to scale up to 1 GWh",Doubled in six months (exact amount not specified),Series B,English,EU,Not mentioned,"battery storage, energy transition, cleantech, Series B, European automotive industry, energy infrastructure, AI, energy management",https://www.eu-startups.com/2025/06/german-cleantech-startup-voltfang-secures-e15-million-and-launches-europes-largest-second-life-battery-factory/,"June 12, 2025",
Multiverse Computing,189000000.0,San Sebastian,Spain,quantum-inspired AI model compression,Series B,"Multiverse Computing innovates quantum-inspired AI model compression, developing CompactifAI to compress LLMs by up to 95% with minimal precision loss.","Bullhound Capital, HP Tech Ventures, SETT, Forgepoint Capital International, CDP Venture Capital, Santander Climate VC, Quantonation, Toshiba, Capital Riesgo de Euskadi – Grupo SPRI",2019,"Enrique Lizaso Olmos (Founder and CEO), Román Orús (Co-founder and Chief Scientific Officer), team of engineers","160 patents, 100 customers globally including Iberdrola, Bosch, and the Bank of Canada, raised near €216 million to date",,Series B,English,EU,,"quantum-inspired AI, model compression, LLMs, CompactifAI, Tensor Networks, AI infrastructure, AI deployment",https://www.eu-startups.com/2025/06/spanish-startup-multiverse-computing-raises-e189-million-to-scale-technology-that-compresses-llms-by-up-to-95/,"June 12, 2025",
Ivy Interactive,917000.0,Stockholm,Sweden,"AI, Software Development, Automation",Pre-Seed,AI-powered platform that allows developers to rapidly create custom internal tools such as CRMs and CMSs.,Luminar Ventures,2025,"ex-Offerta and Tessin, founder of 21-Draw, serial entrepreneurs","early users already in line, planned public launch this summer",,Pre-Seed,English,EU,,"AI, developers, automation, internal tools, software teams, AI revolution",https://www.eu-startups.com/2025/06/swedish-startup-ivy-interactive-raises-e917k-to-fast-track-internal-tool-development-with-ai/,"June 2, 2025",
Dedge Security,4000000.0,,Spain,"Cybersecurity, Web3",Seed,"Dedge Security is a security platform for developers and companies building on Web3, offering an end-to-end solution to protect smart contracts, decentralised applications, and blockchain infrastructure.",Tritemius,2023,"ex-Randed (acquired by Netskope), experts in software, security, and business development",First ASPM platform specifically designed for Web3 environments,,Seed,English,EU,,"ASPM, Web3, cybersecurity, smart contracts, blockchain, decentralised applications",https://www.eu-startups.com/2025/06/madrid-based-cybersecurity-startup-dedge-security-bags-e4-million-to-secure-the-web3-ecosystem/,"June 2, 2025",
Literal Labs,5400000.0,Newcastle,UK,"AI, Machine Learning",Pre-Seed,"Literal Labs is an AI algorithm company that uses logic-based techniques to generate custom AI models, which are faster, more energy-efficient and more explainable than neural networks.","Northern Gritstone, Mercuri, Sure Valley Ventures, Cambridge Future Tech SPV, several angel investors",1,"Experts in logic-based AI, Dr Alex Yakovlev, and Dr Rishad Shafik, along with company builder Cambridge Future Tech. Noel Hurley, CEO, spent more than 20 years at Arm.","Doubled its headcount from 6 to 12 in 2024, appointed Leon Fedden as Chief Technology Officer, achieved 54x faster inferencing than 'classic techniques' for machine learning applications, with 52x less energy consumption than equivalent neural networks, 250x faster performance than XGBoost for machine learning applications.",,Pre-Seed,English,UK,,"AI, logic-based AI, machine learning, energy-efficient, explainable AI, neural networks, Tsetlin machine, MLPerf Anomaly detection, EdgeAI",https://www.eu-startups.com/2025/06/british-ai-startup-literal-labs-secured-e5-4-million-to-generate-custom-ai-models/,"June 2, 2025",
Lumoview Building Analytics GmbH,3000000.0,"Cologne, Berlin",Germany,"PropTech, Energy Efficiency, Sustainable Buildings",Seed,Lumoview captures and processes building data quickly and digitally to enable energy-efficient and sustainable buildings.,"Greencode Ventures, IBB Ventures, WakeUp Capital",2019,"Prof Dr-Ing. Bernhard Hoffschmidt, Dr.-Ing. Arne Tiddens, Dr-Ing. Silvan Siegrist (ex-German Aerospace Center)","34 employees, €5.5 million total funding, European Commissionʼs EIC Accelerator grant",,Seed,English,EU,,"PropTech, energy-efficient, sustainable buildings, digital transformation, decarbonisation, construction industry, climate resilience",https://www.eu-startups.com/2025/06/german-proptech-startup-lumoview-raises-e3-million-for-technology-that-captures-building-data-in-2-seconds-per-room/,"June 2, 2025",
deepdots,5500000.0,,Denmark,"AI, customer feedback analysis",Seed,End-to-end AI platform for streamlining customer feedback analysis.,"Dawn Capital, Maki.vc, Geeta Schmidt",2023,"ex-Google, ex-Humio","Customers include Matas, NREP, Culligan; integrates with Intercom, Zendesk, HubSpot",,Seed,English,EU,,"AI, customer feedback, voice-of-customer, B2B software, proprietary models, data privacy",https://www.eu-startups.com/2025/06/copenhagen-based-deepdots-raises-e5-5-million-to-scale-ai-driven-customer-feedback-platform/,"June 2, 2025",
AccelerComm,13100000.0,Southampton,UK,"5G technology, Satellite networks",Funding round,Provider of high-performance physical layer solutions for 5G Non Terrestrial Networks (NTN).,"IP Group, Parkwalk, Hostplus, IQ Capital, Swisscom Ventures, Bloc Ventures",8,Senior executive with more than 20 years of leadership experience across wireless and satellite communications markets,"Implementations with key mobile operator and satellite network customers and partners, including Lockheed Martin",,,English,UK,,"5G, satellite communications, mobile operators, satellite networks, Lockheed Martin, Non Terrestrial Networks, Radio Access Networks",https://www.eu-startups.com/2025/06/british-startup-accelercomm-secures-e13-1-million-to-help-deliver-universal-mobile-coverage/,"June 2, 2025",
Payflow,10000000.0,,Spain,"FinTech, B2B SaaS",,"A mobile app that allows employees to get paid whenever they want, offering B2B SaaS solutions for employers and free benefits for employees.",Cusp Capital,4,,"Over 1,000 clients, 11 out of the 60 largest employers in Spain, 70,000 downloads, €6 million in revenue, 70% growth in 2024, EBITDA marginally negative, Rule of 40 metric consistently above 40%.",,,English,EU,,"FinTech, Earned Wage Access, B2B SaaS, flexible benefits, sustainable scaling, EBITDA positive, HR and payroll software, financial wellness",https://www.eu-startups.com/2025/06/madrid-based-payflow-raises-e10-million-to-expand-their-earned-wage-access-platform-across-europe-and-lam/,"June 2, 2025",
Assisterr,2400000.0,London,UK,"AI, Web3, Decentralised AI, DeFi, NFT",Seed,"Assisterr is a Solana-native platform that empowers users to create, deploy, and monetise their own specialised AI agents without writing a single line of code.","Google for Startups, Outlier Ventures, Web3.com, Echo.xyz, Moonhill Capital",2023,"Nick Havryliak (CEO and Co-founder), Dima Dimenko (COO and Co-founder)","4.7 million users, 24,000 live AI agents, $160,000 in revenue from early monetisation tests, tokenised agents with combined FDV of over €70.4 million",66000000,Seed,English,UK,,"AI, Web3, decentralised AI, no-code, SLMs, token economy, DeAI, Solana, monetisation, creator economy",https://www.eu-startups.com/2025/05/british-startup-assisterr-raises-e2-8-million-to-enable-users-to-create-and-monetise-ai-agents-without-having-to-write-code/,"May 30, 2025",
Husk,1000000.0,,Belgium,FinTech,pre-Seed,"Husk provides startups with corporate cards with credit built-in and real-time financial monitoring tools on one platform, to help them manage and optimise cash flow.","Techstars, Birdhouse Ventures, NewSchool.vc",2023,"Christophe Sion, Georgy Taranov","16 companies using Husk since launch in February '25, partnerships with Stripe and Mastercard",,Pre-Seed,English,EU,,"FinTech, corporate cards, cash flow, startups, payment solutions, SaaS, Stripe, Mastercard",https://www.eu-startups.com/2025/05/brussels-based-fintech-startup-husk-raises-e1-million-to-help-startups-optimise-costs-and-manage-their-cash-flow/,"May 30, 2025",
Dold Adress,1800000.0,Stockholm,Sweden,"digital privacy, cybersecurity",angel round,Dold Adress provides tools to help individuals and employees remove personal information from the web and offers dark web monitoring and deletion services.,"John Daniels, Magnus Emilson, Anders Holm",2023,"Filip Landgren, Anthon Wansland","serving over 1,200 locations across Sweden, helped remove more than 1 million links containing private information, uncovered more than 100k instances of exposed user data on the dark web",,Angel,English,EU,https://www.doldadress.com,"digital privacy, angel round, Sweden, dark web monitoring, GDPR",https://www.eu-startups.com/2025/05/stockholm-based-dold-adress-secures-e1-8-million-to-push-for-digital-anonymity-even-from-the-dark-web/,"May 30, 2025",
Gazelle Wind Power,2000000.0,Viana do Castelo,Portugal,"renewable energy, offshore wind, clean technology",Pilot project funding,Developer of a next-generation floating offshore wind platform technology aimed at making wind energy production in deep waters more viable and environmentally friendly.,"Banco Português de Fomento, Teresa Fiúza, Stephan de Moraes, Indico Capital Partners",4,"Jon Salazar (CEO), Stephan de Moraes (Co-founder, Indico Capital Partners)","Total investment raised for 'Nau Azul' pilot project to €18.8 million, construction of pilot project in Viana do Castelo, testing advanced wind floating platforms in real offshore conditions",,Co-investment,English,EU,,"offshore wind, renewable energy, floating platform, clean energy, energy transition, blue economy",https://www.eu-startups.com/2025/05/portuguese-energy-startup-gazelle-wind-power-raises-an-additional-e2-million-for-its-offshore-wind-platform-tech/,"May 29, 2025",
kyron.bio,5500000.0,Paris,France,"Biotech, Drug Development",Seed,kyron.bio is innovating precision control of glycosylation in antibody therapeutics to enhance functionality.,"HCVC, Verve Ventures, Entrepreneur First, Saras Capital",2022,"Dr Emilia McLaughlin, PhD at Institut Pasteur Paris","Developed first-ever scalable, patent-protected method for glycan control, achieved over 97% consistency in glycan structures",,Seed,English,EU,kyron.bio,"Biotech, drug development, glycosylation, antibody therapeutics, oncology, autoimmune diseases, infectious diseases, precision glycan-engineered therapeutics",https://www.eu-startups.com/2025/05/paris-based-kyron-bio-secures-e5-5-million-to-tackle-drug-efficiency-and-safety/,"May 28, 2025",
Bloq.it,28000000.0,,Portugal,"logistics, e-commerce, retail",Series B,A smart locker company providing end-to-end services for out-of-home delivery and e-commerce businesses.,,5,,"100% YoY revenue growth in 2024, expanded network adding over 5,000 new lockers (290% YoY increase), 73,083% accumulated revenue growth since 2021, over 50 million shipments processed annually.",,Series B,English,EU,,"smart locker, logistics, e-commerce, out-of-home delivery, Series B, Portugal, expansion, partnerships, revenue growth",https://www.eu-startups.com/2025/05/lisbon-based-bloq-it-raises-e28-million-in-one-of-portugals-biggest-series-b-rounds/,"May 28, 2025",
Velocity,8800000.0,,UK,"FinTech, financial infrastructure, stablecoin technology",pre-Seed,Velocity is a financial infrastructure platform built to unify global payments and treasury through stablecoin technology.,"Activant Capital, Fuel Ventures, Triton Capital, Fabric Ventures, Commerce Ventures, Preface Ventures",2025,"Tom Greenwood (founder of Volt and IFX), Eric Queathem (former Worldpay executive)","Exited stealth mode, announced funding round",,pre-Seed,English,UK,,"FinTech, financial infrastructure, stablecoin, digital finance, payments, treasury, blockchain, enterprise",https://www.eu-startups.com/2025/05/not-chasing-crypto-hype-london-based-velocity-raises-e8-8-million-for-financial-infrastructure-platform/,"May 28, 2025",
Inven,11200000.0,Helsinki,Finland,"AI, deal sourcing, private markets, M&A",Series A,Inven is an AI-native deal sourcing platform designed to uncover opportunities across the global private market.,"Ventech, Vendep Capital, Risto Siilasmaa, Lifeline Ventures, Joint Effects",2,former McKinsey and BCG consultants,"700+ private equity firms, investment banks, consulting firms, and VCs using the platform, 670% year-over-year growth rate",,Series A,English,EU,,"AI, deal sourcing, private markets, M&A, Series A, funding, expansion",https://www.eu-startups.com/2025/05/inven-a-finnish-ai-startup-raises-e11-2-million-for-their-deal-sourcing-platform/,"May 28, 2025",
Hormona,7800000.0,London,UK,"HealthTech, Women's Health",Seed,A women’s health company using AI and at-home testing to empower women to understand and manage their hormone health.,"Voima Ventures, SuperNode Global VC, DLF Ventures, Nascent Invest, Techstars",4,"Co-founded by Karolina Löfqvist (CEO) and Jasmine Tagesson (COO), with a team of 12 including clinical experts in endocrinology, gynecology, and nutrition.","App downloaded in 190+ countries, 30% month-over-month growth, 80% user retention after 12 months, over 90% accuracy in hormone tests compared to traditional methods.",,Seed,English,UK,,"AI, at-home testing, women's health, hormone tracking, HealthTech, Seed funding",https://www.eu-startups.com/2025/05/hormona-a-healthtech-startup-enabling-women-to-track-understand-and-optimise-their-hormones-raises-e7-8-million/,"May 27, 2025",
CurifyLabs,6700000.0,Helsinki,Finland,"HealthTech, DeepTech",Growth,CurifyLabs modernizes and automates the manufacturing of compounded medications to make them safer and better suited for individual patient needs.,"Springvest, Business Finland",2021,"Several decades of experience in the pharmaceutical and compounding industries, including a Professor in Pharmaceutical Technology.","Raised a total of €17.6 million, local offices in Finland, the United States, and Germany, developed a solution making the process four times faster, launched RoboPharma initiative.",,Growth,English,EU,,"HealthTech, DeepTech, compounded medications, personalised medicine, automation, pharmaceutical compounding, AI, robotics",https://www.eu-startups.com/2025/05/finnish-healthtech-startup-curifylabs-raises-e6-7-million-to-make-medicine-safer-and-more-personalised/,"May 27, 2025",
Surgify Medical,7000000.0,Espoo,Finland,"MedTech, surgical technology",Series A,Improving the safety and precision of bone surgery with its Surgify Halo technology.,"ZEISS Ventures, European Innovation Council Fund (EIC Fund), Lednil, Cascara Ventures",2017,"Visa Sippola, Co-founder and CEO","Over a thousand patient procedures, regulatory approvals in EU and U.S., key hospitals adopting the technology",,Series A,English,EU,,"bone surgery, surgical drills, robotic surgery, head neck spine surgeries, surgical safety",https://www.eu-startups.com/2025/05/finnish-medtech-startup-surgify-medical-raises-e7-million-to-make-bone-surgery-safer-with-tissue-selective-technology/,"May 27, 2025",
SpAItial,11400000.0,London,UK,"AI, 3D environments, gaming, robotics, digital twinning, AR/VR, eCommerce, autonomous systems",Seed,SpAItial is building AI that understands and generates 3D environments with spatial foundation models.,"Earlybird Venture Capital, Speedinvest, Robin Rombach, Victor Riparbelli, Steffen Tjerrild, Christian Stiebner, Edward Grefenstette, Maximilian Odendahl, Jon Barron, Rahul Garg, Sergej Epp, Elias Schneider, Paul Whitehead",2024,"Matthias Niessner (Professor at TU Munich), Luke Rogers, Ricardo Martin-Brualla, David Novotny",Early demo results show their model can generate photorealistic 3D worlds from a single image.,,Seed,English,UK,,"AI, 3D environments, spatial foundation models, gaming, robotics, digital twinning, AR/VR, eCommerce, autonomous systems",https://www.eu-startups.com/2025/05/from-video-games-to-urban-planning-british-spaitial-emerges-from-stealth-with-e11-4-million-to-develop-their-3d-modelling-ai/,"May 27, 2025",
Hedera Dx,15000000.0,Lausanne,Switzerland,BioTech,Series A,Hedera Dx is a BioTech company dedicated to removing barriers to precision medicine in oncology by combining advanced molecular diagnostics with clinical data to inform treatment decisions and accelerate drug development.,"Vsquared Ventures, Tesi, Helsana HealthInvest, Eyrir Venture Management, Inventure, Top Harvest",2021,"Expertise in genomics, clinical oncology, bioinformatics, artificial intelligence, and digital health","Deployed across 11 European countries, developed blood-based cancer testing solutions (liquid biopsies)",,Series A,English,EU,,"cancer care, precision medicine, oncology, molecular diagnostics, liquid biopsies, real-world data",https://www.eu-startups.com/2025/05/swiss-biotech-hedera-dx-has-just-bagged-e15-million-to-bring-modern-cancer-care-to-patients-across-the-globe/,"May 27, 2025",
Angel Invest,160000000.0,Germany,Germany,"artificial intelligence, B2B SaaS, infrastructure, digital health, consumer platforms","angel, pre-Seed, Seed","Angel Invest is a European-focused Super Angel Fund that invests in founding teams at the angel, pre-Seed, and Seed stages, offering capital and active coaching.","Jens Lapinski, Oliver Clasen, Jag Singh, John von Berenberg-Consbruch, Karl Joseph Seilern, Nazanin Daneshvar, Remo Mahler, Miguel Encarnacion, Marco Muccini, Jan-Oliver Sell",6,"experienced partners, serial entrepreneurs","200 portfolio companies, over €200 million in capital, €2 billion in follow-on financing, five successful exits",,"angel, pre-Seed, Seed",English,EU,,"Super Angel Fund, European startups, early-stage funding, product-market fit, Series A",https://www.eu-startups.com/2025/06/one-startup-per-week-inside-angel-invests-mission-to-back-europes-startups-with-e160-million/,"June 4, 2025",
